subject,bal_acc,kappa
S01,0.53125,0.375
S02,0.5416666666666666,0.38888888888888884
S03,0.48263888888888884,0.31018518518518523
S04,0.5277777777777778,0.05555555555555558
S05,0.7291666666666667,0.6388888888888888
S06,0.4444444444444444,0.2592592592592593
S07,0.6388888888888888,0.5185185185185186
S08,0.6041666666666666,0.4722222222222222
S09,0.4618055555555556,0.28240740740740744
